seed_id,seed_len,seed_depth,bitmap_size,exec_us,favored,prox_score,stage_max,op0_pos,op0_total,op1_pos,op1_total,op2_pos,op2_total,op3_pos,op3_total,op4_pos,op4_total,op5_pos,op5_total,op6_pos,op6_total,op7_pos,op7_total,op8_pos,op8_total,op9_pos,op9_total,op10_pos,op10_total,op11_pos,op11_total,op12_pos,op12_total,op13_pos,op13_total,op14_pos,op14_total
186,504,4,114,832,1,103,326,0,11,1,14,4,18,3,16,1,12,2,22,0,11,0,14,0,13,3,26,0,10,78,326,0,15,1,10,1,12
186,504,4,114,832,1,103,329,0,10,0,10,0,20,0,24,0,14,0,19,0,16,0,15,0,14,0,12,0,23,0,329,0,12,0,17,0,19
186,504,4,114,832,1,103,316,0,16,0,15,0,18,1,17,1,14,0,12,0,17,0,17,0,13,0,9,0,16,43,316,1,19,0,8,1,19
186,504,4,114,832,1,103,262,0,9,0,14,0,11,0,8,0,8,1,13,1,9,0,12,0,13,0,7,0,12,18,262,0,9,0,9,0,9
186,504,4,114,832,1,103,312,0,13,0,11,0,15,0,15,1,15,0,12,0,10,0,11,1,18,0,17,0,9,19,312,0,16,1,16,0,17
186,504,4,114,832,1,103,272,0,19,1,19,0,16,0,9,0,14,0,12,0,10,0,16,0,12,0,14,0,13,10,272,0,13,0,10,0,12
199,660,5,106,751,1,99,2667,0,125,0,151,0,128,0,133,0,111,0,106,0,125,0,119,0,125,0,106,0,122,1,2667,0,117,0,127,0,125
199,660,5,106,751,1,99,306,1,16,0,16,0,18,0,11,0,14,1,15,1,16,1,17,0,15,0,16,1,19,60,306,2,18,2,14,0,9
199,660,5,106,751,1,99,326,0,19,1,11,0,10,0,12,0,13,0,14,0,16,0,12,0,16,0,10,0,10,2,326,0,16,0,15,0,10
199,660,5,106,751,1,99,340,0,12,0,14,0,20,0,12,0,18,0,14,0,15,0,16,0,10,0,17,0,15,8,340,1,12,0,14,0,14
